,accuracy,confusion_matrix
0,0.5225,"[[129  71]
 [120  80]]"
1,0.5333333333333333,"[[ 82 104]
 [ 71 118]]"
2,0.63,"[[176  24]
 [124  76]]"
3,0.4794871794871795,"[[116  81]
 [122  71]]"
4,0.5263157894736842,"[[91 40]
 [95 59]]"
5,0.5388471177944862,"[[ 69 131]
 [ 53 146]]"
6,0.5139240506329114,"[[ 62 135]
 [ 57 141]]"
7,0.5789473684210527,"[[144  56]
 [112  87]]"
8,0.52,"[[ 13 187]
 [  5 195]]"
9,0.57,"[[ 86 114]
 [ 58 142]]"
10,0.5786666666666667,"[[ 93  93]
 [ 65 124]]"
11,0.63,"[[128  72]
 [ 76 124]]"
12,0.5692307692307692,"[[121  76]
 [ 92 101]]"
13,0.5368421052631579,"[[66 65]
 [67 87]]"
14,0.5388471177944862,"[[ 91 109]
 [ 75 124]]"
15,0.5772151898734177,"[[125  72]
 [ 95 103]]"
16,0.5739348370927319,"[[171  29]
 [141  58]]"
17,0.565,"[[138  62]
 [112  88]]"
18,0.56,"[[150  36]
 [129  60]]"
19,0.5973333333333334,"[[107  79]
 [ 72 117]]"
20,0.5466666666666666,"[[123  63]
 [107  82]]"
21,0.5616438356164384,"[[ 95  88]
 [ 72 110]]"
22,0.5769230769230769,"[[61 56]
 [54 89]]"
23,0.5668449197860963,"[[ 61 125]
 [ 37 151]]"
24,0.5216216216216216,"[[ 85  98]
 [ 79 108]]"
25,0.660427807486631,"[[140  46]
 [ 81 107]]"
26,0.5386666666666666,"[[ 62 124]
 [ 49 140]]"
27,0.6475,"[[ 93 107]
 [ 34 166]]"
28,0.6075,"[[122  78]
 [ 79 121]]"
29,0.552,"[[ 95  91]
 [ 77 112]]"
30,0.5871794871794872,"[[148  49]
 [112  81]]"
31,0.7157894736842105,"[[119  12]
 [ 69  85]]"
32,0.6265664160401002,"[[118  82]
 [ 67 132]]"
33,0.6303797468354431,"[[162  35]
 [111  87]]"
34,0.5363408521303258,"[[132  68]
 [117  82]]"
35,0.67,"[[163  37]
 [ 95 105]]"
36,0.517948717948718,"[[165  32]
 [156  37]]"
37,0.5384615384615384,"[[140  57]
 [123  70]]"
38,0.5643835616438356,"[[101  82]
 [ 77 105]]"
39,0.6333333333333333,"[[122  75]
 [ 68 125]]"
40,0.48,"[[ 90  38]
 [105  42]]"
41,0.506426735218509,"[[114  83]
 [109  83]]"
42,0.4961038961038961,"[[130  64]
 [130  61]]"
43,0.5655526992287918,"[[116  81]
 [ 88 104]]"
44,0.5,"[[ 95 102]
 [ 93 100]]"
45,0.5578947368421052,"[[  7 124]
 [  2 152]]"
46,0.543859649122807,"[[68 63]
 [67 87]]"
47,0.5961538461538461,"[[90 27]
 [78 65]]"
48,0.6596491228070176,"[[121  10]
 [ 87  67]]"
49,0.5127272727272727,"[[51 77]
 [57 90]]"
50,0.5316901408450704,"[[ 34  97]
 [ 36 117]]"
51,0.5464285714285714,"[[75 53]
 [74 78]]"
52,0.5809859154929577,"[[109  22]
 [ 97  56]]"
53,0.5543859649122806,"[[ 18 113]
 [ 14 140]]"
54,0.518796992481203,"[[  8 192]
 [  0 199]]"
55,0.5363408521303258,"[[109  91]
 [ 94 105]]"
56,0.5935828877005348,"[[151  35]
 [117  71]]"
57,0.581453634085213,"[[121  79]
 [ 88 111]]"
58,0.4961439588688946,"[[112  85]
 [111  81]]"
59,0.5070422535211268,"[[68 63]
 [77 76]]"
60,0.5228426395939086,"[[124  73]
 [115  82]]"
61,0.5879396984924623,"[[136  64]
 [100  98]]"
62,0.5213032581453634,"[[ 28 172]
 [ 19 180]]"
63,0.5189873417721519,"[[ 42 155]
 [ 35 163]]"
64,0.5544303797468354,"[[122  75]
 [101  97]]"
65,0.5621621621621622,"[[ 92  91]
 [ 71 116]]"
66,0.6253164556962025,"[[160  37]
 [111  87]]"
67,0.5064935064935064,"[[134  60]
 [130  61]]"
68,0.5,"[[83 45]
 [95 57]]"
69,0.5025380710659898,"[[104  93]
 [103  94]]"
70,0.5761421319796954,"[[145  52]
 [115  82]]"
71,0.5316455696202531,"[[ 73 124]
 [ 61 137]]"
72,0.5964912280701754,"[[130  70]
 [ 91 108]]"
73,0.568922305764411,"[[149  51]
 [121  78]]"
74,0.6256684491978609,"[[111  75]
 [ 65 123]]"
75,0.5839598997493735,"[[ 85 115]
 [ 51 148]]"
76,0.570694087403599,"[[145  52]
 [115  77]]"
77,0.5774647887323944,"[[102  29]
 [ 91  62]]"
78,0.5703517587939698,"[[134  66]
 [105  93]]"
79,0.5583756345177665,"[[151  46]
 [128  69]]"
80,0.6040100250626567,"[[141  59]
 [ 99 100]]"
81,0.5225,"[[ 31 169]
 [ 22 178]]"
82,0.5625,"[[149  51]
 [124  76]]"
83,0.5653333333333334,"[[ 82 104]
 [ 59 130]]"
84,0.7,"[[125  75]
 [ 45 155]]"
85,0.5025641025641026,"[[110  87]
 [107  86]]"
86,0.5543859649122806,"[[  9 122]
 [  5 149]]"
87,0.5263157894736842,"[[ 31 169]
 [ 20 179]]"
88,0.5113924050632911,"[[ 99  98]
 [ 95 103]]"
89,0.556390977443609,"[[171  29]
 [148  51]]"
