,accuracy,confusion_matrix
0,0.5477272727272727,"[[108 112]
 [ 87 133]]"
1,0.6025,"[[123  77]
 [ 82 118]]"
2,0.5789473684210527,"[[ 83 117]
 [ 51 148]]"
3,0.6523929471032746,"[[ 98 100]
 [ 38 161]]"
4,0.5829145728643216,"[[199   1]
 [165  33]]"
5,0.6513761467889908,"[[71 43]
 [33 71]]"
6,0.5825,"[[ 72 128]
 [ 39 161]]"
7,0.7425,"[[138  62]
 [ 41 159]]"
8,0.5538847117794486,"[[139  61]
 [117  82]]"
9,0.5818181818181818,"[[107 113]
 [ 71 149]]"
10,0.5477272727272727,"[[ 86 134]
 [ 65 155]]"
11,0.5216400911161732,"[[124  96]
 [114 105]]"
12,0.5812356979405034,"[[ 96 122]
 [ 61 158]]"
13,0.682648401826484,"[[176  44]
 [ 95 123]]"
14,0.5465116279069767,"[[67 67]
 [50 74]]"
15,0.5136363636363637,"[[ 97 123]
 [ 91 129]]"
16,0.6772727272727272,"[[120 100]
 [ 42 178]]"
17,0.4988610478359909,"[[111 109]
 [111 108]]"
18,0.615,"[[138  62]
 [ 92 108]]"
19,0.5409090909090909,"[[109 111]
 [ 91 129]]"
20,0.5413533834586466,"[[129  71]
 [112  87]]"
21,0.5869017632241813,"[[101  97]
 [ 67 132]]"
22,0.7336683417085427,"[[147  53]
 [ 53 145]]"
23,0.5504587155963303,"[[45 69]
 [29 75]]"
24,0.575,"[[137  63]
 [107  93]]"
25,0.715,"[[113  87]
 [ 27 173]]"
26,0.5137844611528822,"[[130  70]
 [124  75]]"
27,0.543859649122807,"[[ 53 147]
 [ 35 164]]"
28,0.5148063781321185,"[[126  94]
 [119 100]]"
29,0.506265664160401,"[[127  73]
 [124  75]]"
30,0.5580808080808081,"[[115  83]
 [ 92 106]]"
31,0.6347607052896725,"[[200   0]
 [145  52]]"
32,0.4608294930875576,"[[61 53]
 [64 39]]"
33,0.5238095238095238,"[[127  73]
 [117  82]]"
34,0.6691729323308271,"[[135  65]
 [ 67 132]]"
35,0.5100502512562815,"[[113  87]
 [108  90]]"
36,0.672544080604534,"[[117  81]
 [ 49 150]]"
37,0.585812356979405,"[[ 99 119]
 [ 62 157]]"
38,0.6146095717884131,"[[ 97 101]
 [ 52 147]]"
39,0.5909090909090909,"[[131  67]
 [ 95 103]]"
40,0.6506329113924051,"[[ 64 134]
 [  4 193]]"
41,0.6558139534883721,"[[60 52]
 [22 81]]"
42,0.5944584382871536,"[[119  79]
 [ 82 117]]"
43,0.801007556675063,"[[131  67]
 [ 12 187]]"
44,0.5606060606060606,"[[129  69]
 [105  93]]"
45,0.6582914572864321,"[[194   6]
 [130  68]]"
46,0.632420091324201,"[[ 75 145]
 [ 16 202]]"
47,0.6834170854271356,"[[114  86]
 [ 40 158]]"
48,0.6221662468513854,"[[ 54 146]
 [  4 193]]"
49,0.6227848101265823,"[[ 57 141]
 [  8 189]]"
50,0.6388888888888888,"[[39 75]
 [ 3 99]]"
51,0.6457286432160804,"[[ 87 113]
 [ 28 170]]"
52,0.6532663316582915,"[[182  18]
 [120  78]]"
53,0.6675062972292192,"[[154  46]
 [ 86 111]]"
54,0.6009174311926605,"[[56 58]
 [29 75]]"
55,0.5193798449612403,"[[49 85]
 [39 85]]"
56,0.5412844036697247,"[[52 62]
 [38 66]]"
57,0.5207373271889401,"[[90 24]
 [80 23]]"
58,0.6558139534883721,"[[64 48]
 [26 77]]"
59,0.8564814814814815,"[[107   7]
 [ 24  78]]"
60,0.5458715596330275,"[[38 76]
 [23 81]]"
61,0.8623853211009175,"[[ 88  26]
 [  4 100]]"
62,0.4976958525345622,"[[70 44]
 [65 38]]"
63,0.6025,"[[ 96 104]
 [ 55 145]]"
64,0.5272727272727272,"[[121  99]
 [109 111]]"
65,0.56,"[[104  96]
 [ 80 120]]"
66,0.518796992481203,"[[138  62]
 [130  69]]"
67,0.6196473551637279,"[[126  72]
 [ 79 120]]"
68,0.5552763819095478,"[[ 26 174]
 [  3 195]]"
69,0.5504587155963303,"[[52 62]
 [36 68]]"
70,0.67,"[[117  83]
 [ 49 151]]"
71,0.5288220551378446,"[[124  76]
 [112  87]]"
72,0.7275,"[[130  70]
 [ 39 161]]"
73,0.6454545454545455,"[[111 109]
 [ 47 173]]"
74,0.67,"[[ 94 106]
 [ 26 174]]"
75,0.6842105263157895,"[[162  38]
 [ 88 111]]"
76,0.7884130982367759,"[[132  66]
 [ 18 181]]"
77,0.7211055276381909,"[[181  19]
 [ 92 106]]"
78,0.8256880733944955,"[[ 79  35]
 [  3 101]]"
79,0.7125,"[[141  59]
 [ 56 144]]"
80,0.706766917293233,"[[149  51]
 [ 66 133]]"
81,0.5764411027568922,"[[111  89]
 [ 80 119]]"
82,0.5034168564920274,"[[121  99]
 [119 100]]"
83,0.5213032581453634,"[[131  69]
 [122  77]]"
84,0.5025125628140703,"[[147  53]
 [145  53]]"
85,0.5757575757575758,"[[118  80]
 [ 88 110]]"
86,0.654911838790932,"[[174  26]
 [111  86]]"
87,0.4838709677419355,"[[73 41]
 [71 32]]"
88,0.5037593984962406,"[[131  69]
 [129  70]]"
89,0.6591478696741855,"[[128  72]
 [ 64 135]]"
