accuracy,frequency,configuration,frequency_start,frequency_end
0.5063291139240507,4.5,1Hz width 11 channels,4,5
0.46835443037974683,4.5,1Hz width 11 channels,4,5
0.5569620253164557,4.5,1Hz width 11 channels,4,5
0.5316455696202531,4.5,1Hz width 11 channels,4,5
0.5949367088607594,4.5,1Hz width 11 channels,4,5
0.4050632911392405,5.5,1Hz width 11 channels,5,6
0.379746835443038,5.5,1Hz width 11 channels,5,6
0.5569620253164557,5.5,1Hz width 11 channels,5,6
0.5316455696202531,5.5,1Hz width 11 channels,5,6
0.5822784810126582,5.5,1Hz width 11 channels,5,6
0.43037974683544306,6.5,1Hz width 11 channels,6,7
0.45569620253164556,6.5,1Hz width 11 channels,6,7
0.5949367088607594,6.5,1Hz width 11 channels,6,7
0.4810126582278481,6.5,1Hz width 11 channels,6,7
0.4430379746835443,6.5,1Hz width 11 channels,6,7
0.46835443037974683,7.5,1Hz width 11 channels,7,8
0.3924050632911392,7.5,1Hz width 11 channels,7,8
0.5063291139240507,7.5,1Hz width 11 channels,7,8
0.4810126582278481,7.5,1Hz width 11 channels,7,8
0.4430379746835443,7.5,1Hz width 11 channels,7,8
0.4810126582278481,8.5,1Hz width 11 channels,8,9
0.3670886075949367,8.5,1Hz width 11 channels,8,9
0.4430379746835443,8.5,1Hz width 11 channels,8,9
0.46835443037974683,8.5,1Hz width 11 channels,8,9
0.46835443037974683,8.5,1Hz width 11 channels,8,9
0.5443037974683544,9.5,1Hz width 11 channels,9,10
0.43037974683544306,9.5,1Hz width 11 channels,9,10
0.569620253164557,9.5,1Hz width 11 channels,9,10
0.45569620253164556,9.5,1Hz width 11 channels,9,10
0.45569620253164556,9.5,1Hz width 11 channels,9,10
0.569620253164557,10.5,1Hz width 11 channels,10,11
0.5063291139240507,10.5,1Hz width 11 channels,10,11
0.6329113924050633,10.5,1Hz width 11 channels,10,11
0.569620253164557,10.5,1Hz width 11 channels,10,11
0.620253164556962,10.5,1Hz width 11 channels,10,11
0.569620253164557,11.5,1Hz width 11 channels,11,12
0.4810126582278481,11.5,1Hz width 11 channels,11,12
0.5316455696202531,11.5,1Hz width 11 channels,11,12
0.5189873417721519,11.5,1Hz width 11 channels,11,12
0.4936708860759494,11.5,1Hz width 11 channels,11,12
0.6075949367088608,12.5,1Hz width 11 channels,12,13
0.6329113924050633,12.5,1Hz width 11 channels,12,13
0.5443037974683544,12.5,1Hz width 11 channels,12,13
0.6835443037974683,12.5,1Hz width 11 channels,12,13
0.6962025316455697,12.5,1Hz width 11 channels,12,13
0.7088607594936709,13.5,1Hz width 11 channels,13,14
0.6962025316455697,13.5,1Hz width 11 channels,13,14
0.6708860759493671,13.5,1Hz width 11 channels,13,14
0.7721518987341772,13.5,1Hz width 11 channels,13,14
0.6835443037974683,13.5,1Hz width 11 channels,13,14
0.6962025316455697,14.5,1Hz width 11 channels,14,15
0.6455696202531646,14.5,1Hz width 11 channels,14,15
0.6582278481012658,14.5,1Hz width 11 channels,14,15
0.6329113924050633,14.5,1Hz width 11 channels,14,15
0.6582278481012658,14.5,1Hz width 11 channels,14,15
0.5443037974683544,15.5,1Hz width 11 channels,15,16
0.45569620253164556,15.5,1Hz width 11 channels,15,16
0.6075949367088608,15.5,1Hz width 11 channels,15,16
0.45569620253164556,15.5,1Hz width 11 channels,15,16
0.45569620253164556,15.5,1Hz width 11 channels,15,16
0.46835443037974683,5.5,3Hz width 11 channels,4,7
0.4050632911392405,5.5,3Hz width 11 channels,4,7
0.5569620253164557,5.5,3Hz width 11 channels,4,7
0.46835443037974683,5.5,3Hz width 11 channels,4,7
0.5822784810126582,5.5,3Hz width 11 channels,4,7
0.4810126582278481,7.5,3Hz width 11 channels,6,9
0.35443037974683544,7.5,3Hz width 11 channels,6,9
0.4810126582278481,7.5,3Hz width 11 channels,6,9
0.4936708860759494,7.5,3Hz width 11 channels,6,9
0.46835443037974683,7.5,3Hz width 11 channels,6,9
0.5316455696202531,9.5,3Hz width 11 channels,8,11
0.4810126582278481,9.5,3Hz width 11 channels,8,11
0.5063291139240507,9.5,3Hz width 11 channels,8,11
0.5189873417721519,9.5,3Hz width 11 channels,8,11
0.5316455696202531,9.5,3Hz width 11 channels,8,11
0.5569620253164557,11.5,3Hz width 11 channels,10,13
0.5316455696202531,11.5,3Hz width 11 channels,10,13
0.5822784810126582,11.5,3Hz width 11 channels,10,13
0.5822784810126582,11.5,3Hz width 11 channels,10,13
0.569620253164557,11.5,3Hz width 11 channels,10,13
0.5949367088607594,13.5,3Hz width 11 channels,12,15
0.5822784810126582,13.5,3Hz width 11 channels,12,15
0.6582278481012658,13.5,3Hz width 11 channels,12,15
0.6582278481012658,13.5,3Hz width 11 channels,12,15
0.6075949367088608,13.5,3Hz width 11 channels,12,15
0.6708860759493671,15.5,3Hz width 11 channels,14,17
0.5569620253164557,15.5,3Hz width 11 channels,14,17
0.6075949367088608,15.5,3Hz width 11 channels,14,17
0.5569620253164557,15.5,3Hz width 11 channels,14,17
0.569620253164557,15.5,3Hz width 11 channels,14,17
0.5063291139240507,7.0,6Hz width 11 channels,4,10
0.379746835443038,7.0,6Hz width 11 channels,4,10
0.4936708860759494,7.0,6Hz width 11 channels,4,10
0.5063291139240507,7.0,6Hz width 11 channels,4,10
0.5189873417721519,7.0,6Hz width 11 channels,4,10
0.569620253164557,11.0,6Hz width 11 channels,8,14
0.5063291139240507,11.0,6Hz width 11 channels,8,14
0.569620253164557,11.0,6Hz width 11 channels,8,14
0.5822784810126582,11.0,6Hz width 11 channels,8,14
0.5569620253164557,11.0,6Hz width 11 channels,8,14
0.6075949367088608,15.0,6Hz width 11 channels,12,18
0.5316455696202531,15.0,6Hz width 11 channels,12,18
0.569620253164557,15.0,6Hz width 11 channels,12,18
0.620253164556962,15.0,6Hz width 11 channels,12,18
0.620253164556962,15.0,6Hz width 11 channels,12,18
